date,hour,ridership
2020-07-28,15,100037
2020-07-28,16,110530
2020-07-28,17,105150
2020-07-28,18,74465
2020-07-28,19,50001
2020-07-28,20,36786
2020-07-28,21,28129
2020-07-28,22,24305
2020-07-28,23,19371
2020-07-29,0,6461
2020-07-29,1,12
2020-07-29,2,22
2020-07-29,3,5
2020-07-29,4,6674
2020-07-29,5,48875
2020-07-29,6,84234
2020-07-29,7,99858
2020-07-29,8,94472
2020-07-29,9,67446
2020-07-29,10,55112
2020-07-29,11,52334
2020-07-29,12,56696
2020-07-29,13,66838
2020-07-29,14,79147
2020-07-29,15,102216
2020-07-29,16,114769
2020-07-29,17,110873
2020-07-29,18,79447
2020-07-29,19,54022
2020-07-29,20,39770
2020-07-29,21,29861
2020-07-29,22,25890
2020-07-29,23,20514
2020-07-30,0,6973
2020-07-30,1,2
2020-07-30,2,38
2020-07-30,3,13
2020-07-30,4,6540
2020-07-30,5,47435
2020-07-30,6,81021
2020-07-30,7,97397
2020-07-30,8,91338
2020-07-30,9,65783
2020-07-30,10,54560
2020-07-30,11,51925
2020-07-30,12,56960
2020-07-30,13,65331
2020-07-30,14,78710
2020-07-30,15,101282
2020-07-30,16,112718
2020-07-30,17,107938
2020-07-30,18,77220
2020-07-30,19,53262
2020-07-30,20,38677
2020-07-30,21,29314
2020-07-30,22,25878
2020-07-30,23,20746
2020-07-31,0,7237
2020-07-31,1,5
2020-07-31,2,18
2020-07-31,3,1
2020-07-31,4,6309
2020-07-31,5,44238
2020-07-31,6,74954
2020-07-31,7,91502
2020-07-31,8,85960
2020-07-31,9,62841
2020-07-31,10,52995
2020-07-31,11,51164
2020-07-31,12,56518
2020-07-31,13,68620
2020-07-31,14,81821
2020-07-31,15,102860
2020-07-31,16,108276
2020-07-31,17,100645
2020-07-31,18,75877
2020-07-31,19,56780
2020-07-31,20,43004
2020-07-31,21,31979
2020-07-31,22,28186
2020-07-31,23,25584
2020-08-01,0,10169
2020-08-01,1,25
2020-08-01,2,38
2020-08-01,3,14
2020-08-01,4,2627
2020-08-01,5,16118
2020-08-01,6,29572
2020-08-01,7,38197
2020-08-01,8,40385
2020-08-01,9,41498
2020-08-01,10,43037
2020-08-01,11,45878
2020-08-01,12,50176
2020-08-01,13,56154
2020-08-01,14,61198
2020-08-01,15,64218
2020-08-01,16,61238
2020-08-01,17,56729
2020-08-01,18,51657
2020-08-01,19,45798
2020-08-01,20,38787
2020-08-01,21,30439
2020-08-01,22,26516
2020-08-01,23,22709
2020-08-02,0,9660
2020-08-02,1,3
2020-08-02,2,9
2020-08-02,4,1766
2020-08-02,5,10369
2020-08-02,6,19094
2020-08-02,7,23961
2020-08-02,8,25895
2020-08-02,9,27346
2020-08-02,10,28891
2020-08-02,11,30743
2020-08-02,12,34058
2020-08-02,13,39708
2020-08-02,14,44170
2020-08-02,15,45867
2020-08-02,16,43640
2020-08-02,17,39904
2020-08-02,18,38198
2020-08-02,19,33267
2020-08-02,20,27604
2020-08-02,21,24022
2020-08-02,22,21066
2020-08-02,23,15703
2020-08-03,0,5520
2020-08-03,1,8
2020-08-03,2,18
2020-08-03,3,12
2020-08-03,4,6433
2020-08-03,5,46821
2020-08-03,6,82050
2020-08-03,7,97819
2020-08-03,8,93065
2020-08-03,9,65868
2020-08-03,10,54374
