date,ridership
2023-09-12,4041211
2023-09-13,3966241
2023-09-14,4072967
2023-09-15,3721600
2023-09-16,2448442
2023-09-17,1991363
2023-09-18,3565353
2023-09-19,4168266
2023-09-20,4208703
2023-09-21,4166981
2023-09-22,3874139
2023-09-23,2128807
2023-09-24,1712908
2023-09-25,2919452
2023-09-26,3988015
2023-09-27,4115940
2023-09-28,4090106
2023-09-29,2501025
2023-09-30,2220104
2023-10-01,2007945
2023-10-02,3684748
2023-10-03,4045513
2023-10-04,4066991
2023-10-05,4070560
2023-10-06,3674791
2023-10-07,2227166
2023-10-08,2059993
2023-10-09,2870111
2023-10-10,3992788
2023-10-11,4094994
2023-10-12,4143083
2023-10-13,3597930
2023-10-14,2234256
2023-10-15,2025654
2023-10-16,3695697
2023-10-17,4059548
2023-10-18,4113883
2023-10-19,4159792
2023-10-20,3650826
2023-10-21,2450998
2023-10-22,1995546
2023-10-23,3702334
2023-10-24,4078827
2023-10-25,4159181
2023-10-26,4179935
2023-10-27,3888007
2023-10-28,2755113
2023-10-29,1847220
2023-10-30,3675535
2023-10-31,4053797
2023-11-01,4081086
2023-11-02,4120500
2023-11-03,3842636
2023-11-04,2599876
2023-11-05,2321730
2023-11-06,3721330
2023-11-07,3692070
2023-11-08,4104448
2023-11-09,4057788
2023-11-10,3641480
2023-11-11,2603066
2023-11-12,1961508
2023-11-13,3632104
2023-11-14,4031307
2023-11-15,4077420
2023-11-16,4089801
2023-11-17,3779989
2023-11-18,2494622
2023-11-19,1958874
2023-11-20,3683913
2023-11-21,3815209
2023-11-22,3417661
2023-11-23,1651171
2023-11-24,2483004
2023-11-25,2140869
2023-11-26,1702208
2023-11-27,3560155
2023-11-28,3955482
2023-11-29,4071340
2023-11-30,4110590
2023-12-01,3779666
2023-12-02,2778914
2023-12-03,1857735
2023-12-04,3760132
2023-12-05,4125078
2023-12-06,4166541
2023-12-07,4137558
2023-12-08,3918606
2023-12-09,2935356
2023-12-10,1872255
2023-12-11,3677402
2023-12-12,4089215
2023-12-13,4105305
2023-12-14,4160104
2023-12-15,3881737
2023-12-16,2879128
2023-12-17,1968476
2023-12-18,3350326
2023-12-19,3951769
2023-12-20,3877051
2023-12-21,3714889
2023-12-22,3406885
2023-12-23,2260156
2023-12-24,1671136
2023-12-25,1291710
2023-12-26,2703641
2023-12-27,2950010
2023-12-28,3101033
2023-12-29,3231845
2023-12-30,2453953
2023-12-31,1947375
